audio1,audio2,presentation,samediff,consonant,vowels,correctresponse,recording
baGGa10_60.wav,baGGa10.wav,SL,different,G,aa,J,10
baGGa12_60.wav,baGGa12.wav,SL,different,G,aa,J,12
baGGa17_60.wav,baGGa17.wav,SL,different,G,aa,J,17
baGGa19_60.wav,baGGa19.wav,SL,different,G,aa,J,19
baGGa1_60.wav,baGGa1.wav,SL,different,G,aa,J,1
baGGa20_60.wav,baGGa20.wav,SL,different,G,aa,J,20
baGGa21_60.wav,baGGa21.wav,SL,different,G,aa,J,21
baGGa5_60.wav,baGGa5.wav,SL,different,G,aa,J,5
bahha13_60.wav,bahha13_120.wav,SL,different,h,aa,J,13
bahha14_60.wav,bahha14_120.wav,SL,different,h,aa,J,14
bahha16_60.wav,bahha16_120.wav,SL,different,h,aa,J,16
bahha4_60.wav,bahha4_120.wav,SL,different,h,aa,J,4
bahha5_60.wav,bahha5_120.wav,SL,different,h,aa,J,5
bahha6_60.wav,bahha6_120.wav,SL,different,h,aa,J,6
bahha7_60.wav,bahha7_120.wav,SL,different,h,aa,J,7
bahha9_60.wav,bahha9_120.wav,SL,different,h,aa,J,9
baja0_60.wav,baja0.wav,SL,different,j,aa,J,0
baja10_60.wav,baja10.wav,SL,different,j,aa,J,10
baja16_60.wav,baja16.wav,SL,different,j,aa,J,16
baja1_60.wav,baja1.wav,SL,different,j,aa,J,1
baja3_60.wav,baja3.wav,SL,different,j,aa,J,3
baja4_60.wav,baja4.wav,SL,different,j,aa,J,4
baja6_60.wav,baja6.wav,SL,different,j,aa,J,6
baja9_60.wav,baja9.wav,SL,different,j,aa,J,9
biGGi13_60.wav,biGGi13.wav,SL,different,G,ii,J,13
biGGi16_60.wav,biGGi16.wav,SL,different,G,ii,J,16
biGGi19_60.wav,biGGi19.wav,SL,different,G,ii,J,19
biGGi27_60.wav,biGGi27.wav,SL,different,G,ii,J,27
biGGi28_60.wav,biGGi28.wav,SL,different,G,ii,J,28
biGGi3_60.wav,biGGi3.wav,SL,different,G,ii,J,3
biGGi6_60.wav,biGGi6.wav,SL,different,G,ii,J,6
biGGi9_60.wav,biGGi9.wav,SL,different,G,ii,J,9
bihhi16_60.wav,bihhi16.wav,SL,different,h,ii,J,16
bihhi19_60.wav,bihhi19.wav,SL,different,h,ii,J,19
bihhi1_60.wav,bihhi1.wav,SL,different,h,ii,J,1
bihhi21_60.wav,bihhi21.wav,SL,different,h,ii,J,21
bihhi23_60.wav,bihhi23.wav,SL,different,h,ii,J,23
bihhi4_60.wav,bihhi4.wav,SL,different,h,ii,J,4
bihhi8_60.wav,bihhi8.wav,SL,different,h,ii,J,8
bihhi9_60.wav,bihhi9.wav,SL,different,h,ii,J,9
bijji13_60.wav,bijji13.wav,SL,different,j,ii,J,13
bijji14_60.wav,bijji14.wav,SL,different,j,ii,J,14
bijji2_60.wav,bijji2.wav,SL,different,j,ii,J,2
bijji4_60.wav,bijji4.wav,SL,different,j,ii,J,4
bijji5_60.wav,bijji5.wav,SL,different,j,ii,J,5
bijji6_60.wav,bijji6.wav,SL,different,j,ii,J,6
bijji7_60.wav,bijji7.wav,SL,different,j,ii,J,7
bijji8_60.wav,bijji8.wav,SL,different,j,ii,J,8
baGGa10.wav,baGGa10_60.wav,LS,different,G,aa,J,10
baGGa12.wav,baGGa12_60.wav,LS,different,G,aa,J,12
baGGa17.wav,baGGa17_60.wav,LS,different,G,aa,J,17
baGGa19.wav,baGGa19_60.wav,LS,different,G,aa,J,19
baGGa1.wav,baGGa1_60.wav,LS,different,G,aa,J,1
baGGa20.wav,baGGa20_60.wav,LS,different,G,aa,J,20
